	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
TAS2R9	0.0	6.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	4.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	15.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	58.0
TASP1	0.0	3.0	7.0	2.0	0.0	5.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	11.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	5.0	9.0	0.0	0.0	0.0	18.0	1.0	0.0	79.0
TAT	0.0	4.0	4.0	4.0	0.0	9.0	0.0	2.0	5.0	2.0	0.0	2.0	1.0	1.0	1.0	3.0	11.0	4.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	24.0	5.0	0.0	0.0	1.0	25.0	0.0	0.0	113.0
TATDN1	0.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	3.0	5.0	1.0	0.0	0.0	8.0	0.0	0.0	38.0
TATDN2	0.0	5.0	4.0	3.0	0.0	8.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	4.0	5.0	6.0	0.0	2.0	1.0	1.0	0.0	5.0	2.0	9.0	5.0	0.0	0.0	0.0	20.0	1.0	0.0	89.0
TATDN3	0.0	1.0	4.0	1.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	7.0	3.0	0.0	0.0	0.0	12.0	0.0	0.0	46.0
TAX1BP1	0.0	8.0	3.0	1.0	0.0	14.0	0.0	0.0	2.0	3.0	0.0	1.0	2.0	0.0	2.0	1.0	6.0	4.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	3.0	11.0	0.0	1.0	0.0	27.0	0.0	0.0	94.0
TAX1BP3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	17.0
TAZ	1.0	5.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	3.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	5.0	1.0	0.0	0.0	0.0	13.0	1.0	0.0	49.0
TBATA	0.0	4.0	7.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	11.0	5.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	12.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	72.0
TBC1D1	0.0	16.0	4.0	5.0	0.0	12.0	0.0	2.0	4.0	5.0	0.0	2.0	1.0	0.0	0.0	1.0	8.0	4.0	0.0	3.0	1.0	0.0	0.0	1.0	3.0	31.0	12.0	0.0	1.0	0.0	29.0	1.0	0.0	146.0
TBC1D10A	0.0	6.0	3.0	4.0	0.0	6.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	1.0	2.0	2.0	7.0	4.0	0.0	3.0	2.0	0.0	2.0	0.0	0.0	14.0	5.0	0.0	0.0	0.0	20.0	0.0	0.0	91.0
TBC1D10B	0.0	2.0	3.0	5.0	1.0	11.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	66.0
TBC1D10C	0.0	5.0	2.0	0.0	0.0	13.0	1.0	1.0	2.0	2.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	4.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	11.0	8.0	0.0	2.0	0.0	16.0	0.0	0.0	78.0
