"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"RGS9",2,4,0,0,0,1.16480726984859,0,0,0,0.824519274767268,0.360470844997715,0.617922335233004,1,0.948999518968032,0.904340106794148,0.951742928042244,0.915385513346237,0.999999787711459
"AC103809.2",0,0,0,0,0,0,0,0,0,0.341013410695324,0.795851488382449,0.617986206929011,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91541625740075,0.999999787711459
"C6orf1",1,0,0,0,0,0,0,0,0,0.34290268395192,0.789380583965021,0.61805071424582,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915447300705203,0.999999787711459
"BPIFB6",3,4,0,0,0,0.881113504880426,0,0,0,0.846714856443621,0.327524141665808,0.618066592334409,1,0.955693718022966,0.904340106794148,0.951742928042244,0.915454940795541,0.999999787711459
"MTRF1L",0,0,0,0,0,0,0,0,0,0.345787466056375,0.768072147085477,0.618214307012593,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915525997403015,0.999999787711459
"AF196779.12",0,0,0,0,0,0,0,0,0,0.345181809308846,0.772203698241764,0.618353418028405,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915592883037304,0.999999787711459
"HIST1H2BN",0,0,0,0,0,0,0,0,0,0.340912199616243,0.798667270399639,0.618354734828778,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915593516015404,0.999999787711459
"TCP11",0,3,0,0,0,1.9278193761565,0,0,0,0.442287086829316,0.602643875845223,0.61840279637185,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915616616994105,0.999999787711459
"PLEKHG7",2,1,0,0,0,0.47343386180274,0,0,0,0.466222257997026,0.474105778815736,0.618427144056934,1,0.842327204918842,0.904340106794148,0.951742928042244,0.915628318383795,0.999999787711459
"INTS8",2,1,0,0,0,0.47102472404871,0,0,0,0.462980929767466,0.477892411134697,0.618519579266092,1,0.842327204918842,0.904340106794148,0.951742928042244,0.915672733608861,0.999999787711459
"NT5C3A",0,0,0,0,0,0,0,0,0,0.347996350822142,0.757875049143372,0.618584706707124,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915704019124256,0.999999787711459
"PROK2",0,0,0,0,0,0,0,0,0,0.347020940174584,0.763722281164007,0.618713779349859,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915766001978264,0.999999787711459
"COX6A1P2",0,0,0,0,0,0,0,0,0,0.333895822557291,0.85836575680157,0.618722907859883,1,0.842221745634471,0.904341826807974,0.951742928042244,0.915770384622739,0.999999787711459
"ACTL7B",3,6,0,0,0,1.59287877060674,0,0,0,0.430558667536832,0.60214426874703,0.618734884309692,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91577613437345,0.999999787711459
